data1,data2,data3
-0.269,-0.269,-0.269
-0.373,-0.609,-0.341
-0.485,0.051,-0.418
-0.582,0.044,-0.496
-0.631,-0.269,-0.565
-0.609,-0.081,-0.614
-0.514,0.218,-0.632
-0.366,0.306,-0.614
-0.202,-0.218,-0.56
-0.058,-0.512,-0.474
0.051,0.0,-0.366
0.145,0.303,-0.25
0.203,0.218,-0.14
0.206,-0.026,-0.046
0.149,-0.269,0.031
0.044,-0.322,0.101
-0.083,-0.487,0.16
-0.2,-0.128,0.2
-0.277,-0.269,0.212
-0.297,-0.355,0.195
-0.269,-0.051,0.149
-0.231,-0.119,0.079
-0.196,-0.269,-0.006
-0.162,-0.269,-0.096
-0.125,-0.269,-0.179
-0.081,-0.269,-0.245
-0.03,-0.269,-0.286
0.029,-0.116,-0.298
0.092,-0.269,-0.284
0.156,-0.347,-0.257
0.218,0.269,-0.231
0.279,0.153,-0.206
0.336,-0.269,-0.182
0.37,-0.452,-0.158
0.363,-0.218,-0.133
0.306,0.403,-0.104
0.204,0.218,-0.072
0.077,-0.115,-0.035
-0.049,0.051,0.005
-0.149,0.276,0.048
-0.218,0.0,0.092
-0.284,-0.512,0.137
-0.367,-0.218,0.181
-0.45,-0.206,0.224
-0.506,0.0,0.267
-0.512,0.287,0.309
-0.459,0.269,0.345
-0.356,0.303,0.368
-0.229,-0.051,0.371
-0.106,-0.097,0.351
0.0,0.051,0.306
0.099,0.116,0.238
0.191,0.487,0.155
0.261,0.639,0.064
0.3,0.487,-0.025
0.303,0.287,-0.103
0.278,-0.218,-0.164
0.24,-0.074,-0.211
0.209,0.487,-0.256
0.201,0.255,-0.307
0.218,0.218,-0.367
0.234,0.493,-0.426
0.221,0.269,-0.477
0.169,0.119,-0.509
0.082,0.051,-0.515
-0.026,-0.067,-0.492
-0.133,-0.269,-0.441
-0.22,-0.067,-0.368
-0.273,0.218,-0.281
-0.285,-0.287,-0.191
-0.269,-0.487,-0.106
-0.249,-0.542,-0.03
-0.24,-0.487,0.04
-0.249,0.141,0.109
-0.277,0.269,0.174
-0.322,-0.194,0.229
-0.375,-0.269,0.272
-0.426,-0.081,0.297
-0.464,0.218,0.306
-0.483,0.224,0.298
-0.487,-0.269,0.278
-0.477,-0.176,0.252
-0.428,0.0,0.226
-0.337,-0.146,0.207
-0.227,-0.487,0.201
-0.128,-0.056,0.207
-0.065,0.487,0.222
-0.053,0.184,0.233
-0.093,0.269,0.231
-0.172,0.493,0.21
-0.269,0.218,0.169
-0.365,0.296,0.111
-0.435,0.487,0.04
-0.459,0.09,-0.037
-0.431,0.0,-0.113
-0.355,0.1,-0.18
-0.25,-0.218,-0.234
-0.145,-0.12,-0.269
-0.068,-0.218,-0.285
-0.039,-0.486,-0.282
